Student_ID,Attendance,Study_Hours,Previous_Marks,Assignment_Score,Internal_Marks,Result
1,85,1.3,82,65,61,Pass
2,92,1.3,82,99,41,Pass
3,47,0.7,48,59,94,Fail
4,80,2.0,76,99,83,Pass
5,82,2.6,90,30,50,Pass
6,66,2.6,48,73,43,Fail
7,51,3.2,57,63,35,Fail
8,79,1.4,94,78,40,Pass
9,98,5.2,91,76,54,Pass
10,47,5.5,84,67,40,Pass
11,100,1.3,52,88,76,Pass
12,67,2.1,52,39,51,Fail
13,60,1.7,59,64,58,Fail
14,98,6.3,38,59,34,Pass
15,70,2.5,48,70,57,Pass
16,70,7.1,76,88,48,Pass
17,60,6.1,69,63,84,Pass
18,70,3.2,43,95,93,Pass
19,48,7.0,44,50,84,Pass
20,69,3.4,64,97,62,Pass
21,100,7.6,78,44,64,Pass
22,66,1.3,62,50,88,Fail
23,91,7.1,51,94,52,Pass
24,51,7.0,54,94,55,Pass
25,93,1.7,84,97,30,Pass
26,76,0.6,94,76,69,Pass
27,60,7.1,95,40,40,Pass
28,97,1.0,83,98,46,Pass
29,75,7.6,45,63,84,Pass
30,79,6.2,79,55,69,Pass
31,87,5.4,63,96,87,Pass
32,59,1.0,36,100,59,Fail
33,45,1.0,75,37,59,Fail
34,47,6.9,39,95,60,Pass
35,76,2.1,43,90,61,Pass
36,96,3.6,41,42,85,Pass
37,71,4.0,81,36,42,Fail
38,91,3.0,90,43,61,Pass
39,79,3.9,62,53,65,Pass
40,100,7.4,63,100,42,Pass
41,79,6.8,40,60,51,Pass
42,75,2.1,60,37,51,Fail
43,69,2.5,85,88,66,Pass
44,91,8.0,70,92,49,Pass
45,58,7.8,72,99,37,Pass
46,48,0.9,65,94,50,Fail
47,77,1.1,46,38,38,Fail
48,60,3.5,95,61,35,Pass
49,71,5.4,71,96,70,Pass
50,58,5.5,55,60,63,Pass
51,87,5.3,64,70,39,Pass
52,84,8.0,41,39,57,Pass
53,53,7.5,91,38,61,Pass
54,55,3.8,69,68,31,Pass
55,80,2.7,77,43,47,Fail
56,51,6.1,44,64,66,Pass
57,90,3.1,78,63,94,Pass
58,99,0.9,75,84,65,Pass
59,66,6.3,75,63,50,Pass
60,80,5.8,70,31,44,Fail
61,89,7.3,69,34,77,Pass
62,54,3.7,37,69,76,Pass
63,95,7.8,37,75,56,Pass
64,87,1.3,84,82,49,Pass
65,60,7.0,86,52,82,Pass
66,92,7.4,85,82,61,Pass
67,95,5.8,59,34,90,Pass
68,97,7.4,57,69,59,Pass
69,87,1.9,56,65,38,Pass
70,62,3.1,67,81,72,Pass
71,52,7.1,51,52,63,Fail
72,83,3.8,81,70,85,Pass
73,77,1.4,92,54,62,Fail
74,72,0.5,94,98,55,Pass
75,49,7.6,93,72,70,Pass
76,52,5.9,54,94,69,Pass
77,65,3.5,53,100,46,Fail
78,87,7.6,78,52,68,Pass
79,98,0.5,53,56,85,Pass
80,83,5.4,64,86,86,Pass
81,77,4.0,92,51,40,Pass
82,87,5.2,56,41,60,Pass
83,59,6.5,44,33,35,Fail
84,75,5.1,84,39,88,Pass
85,85,4.8,80,79,93,Pass
86,54,5.4,35,43,84,Fail
87,96,7.7,68,89,36,Pass
88,99,1.4,43,89,70,Pass
89,73,5.1,81,94,84,Pass
90,80,3.8,45,90,87,Pass
91,60,6.8,52,96,92,Pass
92,62,3.8,80,66,60,Pass
93,65,7.2,40,47,49,Fail
94,89,1.6,48,38,83,Fail
95,79,4.0,38,56,83,Pass
96,94,4.9,79,32,78,Pass
97,67,2.7,59,83,58,Pass
98,62,3.8,36,79,73,Pass
99,96,3.5,45,89,46,Pass
100,79,0.7,60,33,40,Fail
101,53,7.0,46,36,63,Pass
102,58,3.9,56,78,65,Pass
103,98,3.7,88,40,90,Pass
104,79,0.9,95,74,58,Pass
105,94,7.7,37,33,61,Pass
106,46,5.2,50,46,90,Pass
107,81,7.6,64,62,77,Pass
108,83,7.7,80,44,50,Pass
109,51,4.8,94,69,78,Pass
110,90,2.0,72,61,43,Pass
111,64,6.9,73,45,35,Pass
112,72,5.5,39,94,73,Pass
113,71,6.7,41,85,76,Pass
114,98,3.9,44,85,52,Pass
115,86,2.5,86,98,91,Pass
116,97,6.0,52,71,61,Pass
117,50,2.6,63,61,89,Pass
118,87,3.3,36,93,71,Fail
119,58,3.2,51,73,65,Pass
120,89,7.1,70,31,54,Pass
121,91,3.5,70,60,90,Pass
122,76,3.9,36,41,67,Fail
123,89,2.3,77,77,90,Pass
124,67,3.7,82,100,72,Pass
125,74,2.5,51,59,45,Fail
126,65,1.4,69,53,54,Fail
127,75,2.6,72,97,66,Pass
128,98,2.0,49,76,52,Fail
129,90,4.5,52,35,36,Pass
130,89,7.6,75,92,43,Pass
131,81,2.6,65,86,73,Pass
132,48,2.4,90,91,44,Pass
133,70,4.2,71,36,49,Fail
134,81,7.6,40,61,45,Pass
135,71,5.0,85,58,78,Pass
136,73,2.7,72,84,69,Pass
137,48,5.1,82,42,56,Pass
138,61,5.5,45,60,52,Pass
139,55,0.5,63,90,67,Fail
140,63,5.8,79,88,39,Pass
141,61,6.4,75,55,84,Pass
142,59,5.4,93,64,48,Pass
143,55,6.4,73,66,86,Pass
144,89,2.8,60,64,94,Pass
145,73,1.1,37,85,71,Fail
146,46,1.2,78,32,64,Fail
147,93,6.2,65,96,86,Pass
148,56,8.0,62,92,41,Pass
149,71,3.0,77,43,50,Fail
150,89,4.2,77,81,34,Pass
151,65,2.4,42,81,95,Pass
152,45,5.4,69,89,82,Pass
153,78,3.2,83,93,86,Pass
154,58,2.5,43,66,86,Pass
155,76,1.4,75,60,50,Fail
156,45,4.6,40,58,44,Fail
157,52,5.4,44,93,67,Pass
158,62,3.6,65,90,61,Pass
159,54,3.4,93,95,47,Pass
160,62,6.3,89,83,73,Pass
161,77,2.5,35,66,68,Pass
162,82,8.0,66,49,87,Pass
163,67,3.0,83,99,78,Pass
164,65,7.0,79,60,79,Pass
165,94,3.6,55,90,78,Pass
166,87,6.4,76,49,93,Pass
167,53,4.3,72,72,42,Pass
168,73,1.2,93,88,31,Pass
169,71,7.0,44,39,90,Pass
170,61,3.0,79,80,40,Pass
171,99,5.6,69,78,70,Pass
172,93,4.2,69,34,38,Fail
173,88,7.4,49,41,85,Pass
174,93,5.3,90,42,86,Pass
175,64,7.3,37,71,37,Pass
176,68,3.7,50,97,82,Pass
177,95,1.9,46,40,78,Pass
178,60,4.2,72,48,59,Pass
179,61,3.9,77,31,89,Pass
180,88,4.6,39,86,74,Pass
181,64,5.3,62,62,88,Pass
182,57,8.0,89,91,43,Pass
183,81,3.2,53,67,32,Pass
184,87,3.5,35,36,93,Pass
185,63,6.3,49,75,58,Pass
186,84,2.4,83,47,42,Pass
187,86,0.8,85,86,34,Pass
188,91,1.5,93,67,71,Pass
189,56,2.0,85,99,76,Pass
190,62,6.7,51,91,67,Pass
191,66,6.5,64,39,48,Pass
192,59,7.0,81,80,76,Pass
193,70,0.6,69,45,88,Fail
194,92,5.5,72,78,77,Pass
195,59,4.0,74,71,58,Pass
196,85,6.7,93,68,82,Pass
197,47,7.6,54,93,44,Pass
198,79,1.5,64,77,83,Pass
199,91,1.7,61,42,92,Pass
200,62,0.7,58,57,86,Fail
201,60,6.9,41,77,75,Pass
202,62,1.9,42,88,41,Fail
203,86,5.3,36,36,72,Fail
204,53,6.4,48,38,56,Pass
205,97,7.0,56,48,30,Pass
206,54,7.9,69,62,52,Pass
207,100,0.7,35,75,60,Fail
208,46,1.8,38,46,83,Fail
209,92,1.0,63,76,95,Pass
210,73,4.3,95,35,68,Pass
211,46,1.0,65,81,84,Pass
212,76,5.8,63,39,40,Pass
213,54,1.0,52,100,71,Fail
214,83,4.5,64,94,85,Pass
215,89,1.4,76,100,57,Pass
216,59,3.6,87,88,81,Pass
217,51,2.8,55,62,77,Pass
218,88,7.4,39,41,40,Fail
219,51,6.1,58,46,37,Pass
220,80,4.7,77,45,82,Pass
221,87,7.6,62,36,66,Pass
222,67,1.3,67,57,49,Fail
223,59,6.9,57,77,44,Pass
224,81,2.2,62,33,64,Fail
225,62,5.8,54,73,74,Pass
226,100,1.6,77,81,38,Fail
227,85,7.8,40,97,57,Pass
228,74,3.1,58,69,71,Pass
229,81,5.0,91,36,49,Pass
230,84,0.9,40,64,86,Pass
231,76,5.1,61,64,57,Pass
232,52,3.1,42,66,92,Pass
233,64,0.8,60,37,30,Fail
234,58,6.3,83,62,67,Pass
235,45,4.2,62,52,46,Fail
236,90,2.2,70,75,39,Pass
237,92,0.8,36,88,39,Fail
238,81,3.7,60,83,67,Pass
239,46,7.7,45,88,76,Pass
240,99,1.3,62,81,40,Fail
241,64,6.1,49,72,51,Fail
242,85,1.4,67,54,74,Pass
243,97,5.3,44,60,43,Fail
244,57,1.8,44,39,52,Fail
245,85,4.2,83,87,71,Pass
246,85,2.9,63,38,90,Pass
247,64,6.5,72,37,75,Pass
248,64,4.0,37,37,77,Pass
249,49,5.3,89,41,94,Pass
250,82,4.7,85,35,87,Pass
251,81,5.4,55,90,94,Pass
252,48,3.9,86,73,40,Pass
253,56,0.8,80,86,86,Pass
254,84,1.7,58,66,79,Pass
255,66,5.6,38,72,38,Fail
256,80,5.6,53,62,49,Pass
257,82,5.5,93,74,69,Pass
258,89,5.5,43,40,69,Pass
259,86,6.4,87,46,41,Pass
260,72,4.3,36,76,69,Fail
261,58,3.1,84,92,54,Pass
262,53,1.7,53,42,94,Pass
263,98,6.0,68,34,73,Pass
264,84,1.5,59,49,50,Fail
265,89,6.3,86,51,86,Pass
266,68,5.6,50,86,66,Pass
267,95,3.9,69,60,69,Pass
268,95,4.0,88,54,77,Pass
269,81,7.9,64,66,78,Pass
270,71,7.7,87,55,47,Pass
271,48,5.3,90,77,43,Pass
272,78,6.9,53,40,50,Pass
273,77,1.6,62,41,58,Pass
274,67,7.5,61,36,80,Pass
275,60,3.4,40,77,58,Fail
276,51,6.8,76,72,48,Pass
277,63,7.4,65,47,90,Pass
278,45,7.3,36,62,57,Pass
279,80,7.6,73,97,84,Pass
280,63,2.3,42,36,60,Fail
281,95,5.2,39,44,93,Pass
282,46,5.2,71,60,48,Pass
283,45,5.1,50,83,53,Pass
284,50,4.4,58,38,94,Pass
285,77,4.7,59,90,35,Pass
